id,name,name_part,provided_gnd
org_0033,geistliche > Benediktiner > Bursfelder Kongregation > Würzburg - St. Stephan,Würzburg - St. Stephan,
org_0034,geistliche > Benediktiner > Helvetische Kongregation > Engelberg,Engelberg,http://d-nb.info/gnd/5015078-9
org_0035,geistliche > Benediktiner > Oberschwäbische Kongregation > Ochsenhausen,Ochsenhausen,http://d-nb.info/gnd/2133171-6
org_0036,geistliche > Benediktiner > Oberschwäbische Kongregation > Ottobeuren,Ottobeuren,http://d-nb.info/gnd/2003571-8
org_0037,geistliche > Benediktiner > Oberschwäbische Kongregation > Petershausen,Petershausen,http://d-nb.info/gnd/1092103201
org_0038,geistliche > Benediktiner > Cassinenser Kongregation > Farfa - S. Maria,Farfa - S. Maria,
org_0039,geistliche > Benediktiner > Cassinenser Kongregation > Pavia - S. Spirito,Pavia - S. Spirito,
org_0040,geistliche > Benediktiner > Cassinenser Kongregation > Ravenna - S. Vitale,Ravenna - S. Vitale,
org_0041,geistliche > Zisterzienser > Lilienfeld,Lilienfeld,http://d-nb.info/gnd/16117338-X
org_0042,geistliche > Benediktiner > Niederaltaich,Niederaltaich,http://d-nb.info/gnd/2005841-X
org_0043,geistliche > Säkularklerus > Krems - Dekanat,Krems - Dekanat,
org_0044,geistliche > Benediktiner > Oberschwäbische Kongregation > Mehrerau,Mehrerau,http://d-nb.info/gnd/1086282779
org_0045,geistliche > Kartäuser > Aggsbach,Aggsbach,http://d-nb.info/gnd/2115958-0
org_0046,geistliche > Benediktiner > Oberschwäbische Kongregation > Wiblingen,Wiblingen,http://d-nb.info/gnd/4313535-3
org_0047,geistliche > Benediktiner > Österreichische Kongregation > Seitenstetten,Seitenstetten,http://d-nb.info/gnd/19112-7
org_0048,geistliche > Benediktiner > Marienberg in Südtirol,Marienberg in Südtirol,http://d-nb.info/gnd/2165566-2
org_0049,geistliche > Benediktiner > Bursfelder Kongregation > Fulda,Fulda,http://d-nb.info/gnd/4074038-9
org_0050,weltliche > Düsseldorf - Hof,Düsseldorf - Hof,
org_0051,weltliche > Breslau - Kaiserlicher Rat,Breslau - Kaiserlicher Rat,
org_0052,weltliche > Tübingen - Universität,Tübingen - Universität,
org_0053,weltliche > Sizilien - Hof,Sizilien - Hof,
org_0054,weltliche > Altdorf - Universität,Altdorf - Universität,
org_0055,weltliche > Wittenberg - Universität,Wittenberg - Universität,
org_0056,geistliche > Prämonstratenser > Geras,Geras,http://d-nb.info/gnd/1043114-7
org_0057,geistliche > Benediktiner > Bursfelder Kongregation > Schönau,Schönau,http://d-nb.info/gnd/4715040-3
org_0058,geistliche > Benediktiner > Belgische Klöster > Lüttich - St.-Laurent,Lüttich - St.-Laurent,
org_0059,geistliche > Säkularklerus > Salzburg - Erzbistum,Salzburg - Erzbistum,
org_0060,geistliche > Augustiner-Chorherren > St. Andrä an der Traisen,St. Andrä an der Traisen,
org_0061,geistliche > Benediktiner > Mönchsdeggingen,Mönchsdeggingen,http://d-nb.info/gnd/4540159-7
org_0062,geistliche > Benediktiner > Trier - St.-Maximin,Trier - St.-Maximin,
org_0063,weltliche > Wien - niederösterreichische Landschaft,Wien - niederösterreichische Landschaft,
org_0064,geistliche > Benediktiner > Kongregation von St.-Vanne,Kongregation von St.-Vanne,
org_0065,geistliche > Säkularklerus > Belley - Bistum,Belley - Bistum,
org_0066,weltliche > Weißenburg - Lateinschule,Weißenburg - Lateinschule,
org_0067,geistliche > Karmeliter > Rovereto,Rovereto,
org_0068,geistliche > Trinitarier > Wien,Wien,http://d-nb.info/gnd/4654738-1
org_0069,geistliche > Säkularklerus > Ephesus - Erzbistum,Ephesus - Erzbistum,
org_0070,geistliche > Säkularklerus > Wien - Nuntiatur,Wien - Nuntiatur,
org_0071,weltliche > Gießen - Universität,Gießen - Universität,
org_0072,geistliche > Benediktiner > Cassinenser Kongregation > Padua - S. Giustina,Padua - S. Giustina,
org_0073,geistliche > Benediktiner > Oberschwäbische Kongregation > Zwiefalten,Zwiefalten,http://d-nb.info/gnd/5024707-4
org_0074,geistliche > Benediktiner > Bayerische Kongregation > Benediktbeuern,Benediktbeuern,http://d-nb.info/gnd/4212238-7
org_0075,geistliche > Benediktiner > Bayerische Kongregation > Wessobrunn,Wessobrunn,http://d-nb.info/gnd/4194769-1
org_0076,weltliche > Frankfurt - Universität,Frankfurt - Universität,
org_0077,geistliche > Benediktiner > Bursfelder Kongregation > Würzburg - St. Jakob (Schottenkloster),Würzburg - St. Jakob (Schottenkloster),
org_0078,weltliche > Jena - Universität,Jena - Universität,
org_0079,weltliche > Leipzig - Universität,Leipzig - Universität,
org_0080,weltliche > Basel - Universität,Basel - Universität,
org_0081,geistliche > Benediktiner > Cassinenser Kongregation,Cassinenser Kongregation,
