id,name,forename,surname,provided_gnd
person__116,Placidus Mayrhauser,Placidus,Mayrhauser,
person__117,Willibald Hauthaler,Willibald,Hauthaler,
person__118,Pirmin Lindner,Pirmin,Lindner,
person__119,Eduard Bodemann,Eduard,Bodemann,
person__120,Ansgar Grass,Ansgar,Grass,
person__121,Petrus Friderici,Petrus,Friderici,
person__122,Adrien de Valois,Adrien de,Valois,
person__123,Jean Liron,Jean,Liron,
person__124,Hl. Bernhard von Clairvaux,Hl. Bernhard von Clairvaux,,
person__125,Telesphorus von Cosenza,Telesphorus von Cosenza,,
person__126,Louis Pisant,Louis,Pisant,
person__127,Henri-Pons de Thiard de Bissy,Henri-Pons de,Thiard de Bissy,
person__128,Célestin Lombard,Célestin,Lombard,
person__130,Rupert Hausdorf,Rupert,Hausdorf,
person__131,Jean Bolland,Jean,Bolland,http://d-nb.info/gnd/129204668
person__132,Gottfried Henschen,Gottfried,Henschen,
person__133,Daniel Papebroch,Daniel,Papebroch,
person__134,Gabriel Gerberon,Gabriel,Gerberon,http://d-nb.info/gnd/123622778
person__135,Ludwig XIV.,Ludwig XIV.,,
person__136,Klemens XI.,Klemens XI.,,
person__138,Thomas Eixl,Thomas,Eixl,
person__141,Adalbert Defuns,Adalbert,Defuns,
person__142,Johann Baptist Hemm,Johann Baptist,Hemm,
person__143,Odo Illem,Odo,Illem,
person__144,Augustin Brunner,Augustin,Brunner,
person__145,Karlmann Schretl,Karlmann,Schretl,
person__146,Hyazinth Baumbach,Hyazinth,Baumbach,
person__147,Georg Konrad Sigler,Georg Konrad,Sigler,
person__149,Benedikt Spies,Benedikt,Spies,
person__150,Gregor Imfeld,Gregor,Imfeld,
person__151,Placidus Haiden,Placidus,Haiden,http://d-nb.info/gnd/10015669X
person__152,Anselm Fischer,Anselm,Fischer,http://d-nb.info/gnd/130136557
person__153,Albert Krez,Albert,Krez,
person__154,Felix Egger,Felix,Egger,
person__155,Bernardo Cretoni,Bernardo,Cretoni,
person__156,Severino de Ò,Severino de,Ò,
person__157,Flaminio Avanzi,Flaminio,Avanzi,
person__158,Wolfgang Wetter,Wolfgang,Wetter,
person__159,Innozenz Grafsturm,Innozenz,Grafsturm,
person__160,Candidus Klitsch,Candidus,Klitsch,
person__161,Amand Guolfinger von Steinsberg,Amand,Guolfinger von Steinsberg,
person__162,Johann Buchels,Johann,Buchels,http://d-nb.info/gnd/135655706
person__163,Johannes Trithemius,Johannes,Trithemius,
person__165,Antoine Auguste Toutté,Antoine Auguste,Toutté,
person__166,François Chevallier,François,Chevallier,
person__167,Julien Garnier,Julien,Garnier,http://d-nb.info/gnd/124182674
person__168,Claude Devic,Claude,Devic,http://d-nb.info/gnd/1053408544
person__170,Gui Alexis Lobineau,Gui Alexis,Lobineau,
person__171,Michel Felibien,Michel,Felibien,http://d-nb.info/gnd/180962140
person__173,Guillaume Roussel,Guillaume,Roussel,
person__175,Dominique Fornier,Dominique,Fornier,
person__176,Nicolas Alexandre,Nicolas,Alexandre,http://d-nb.info/gnd/100007902
person__177,Jean-Joseph Cladière,Jean-Joseph,Cladière,
person__178,Jacques-Charles le Boucher,Jacques-Charles le,Boucher,
person__179,Thierry Ruinart,Thierry,Ruinart,
person__180,Abraham Feray,Abraham,Feray,
person__181,Jacques Langelé,Jacques,Langelé,
person__182,Jacques Lopin,Jacques,Lopin,
person__183,Antoine Pouget,Antoine,Pouget,
person__184,Guillaume Bessin,Guillaume,Bessin,http://d-nb.info/gnd/100038352
person__185,Pierre Coustant,Pierre,Coustant,
person__186,Louis Bulteau,Louis,Bulteau,http://d-nb.info/gnd/18297295X
person__187,Gaspard de la Porte,Gaspard de la,Porte,
person__188,Francois de Faverolles,Francois de,Faverolles,
person__189,Placide David Porcheron,Placide David,Porcheron,
person__190,Nicolas Goizot,Nicolas,Goizot,
person__191,Simon Bonnet,Simon,Bonnet,
person__192,Robert Morel,Robert,Morel,
person__193,Jean-Baptist Deschamps,Jean-Baptist,Deschamps,
person__194,Pierre Cosson,Pierre,Cosson,http://d-nb.info/gnd/1055508406
person__195,Nicolas Hougat,Nicolas,Hougat,
person__196,Jean Bonnet,Jean,Bonnet,
person__197,Claude Guenié,Claude,Guenié,
person__198,Jean Etienne Badier,Jean Etienne,Badier,
person__199,Denis Sainte-Marthe,Denis ,Sainte-Marthe,
person__200,Jean Martianay,Jean,Martianay,
person__201,André Roze,André,Roze,
person__202,Charles Adhenet,Charles,Adhenet,
person__203,Jean-Paul Du Sault,Jean-Paul ,Du Sault,
person__205,Jean Gellé,Jean,Gellé,
person__206,Toussaint Courtin,Toussaint,Courtin,
person__207,Jean Loysel,Jean,Loysel,
person__208,Nicolas Le Nourry,Nicolas ,Le Nourry,
person__209,Claude David,Claude,David,
person__210,Jacques Du Frische,Jacques ,Du Frische,
person__211,Julien Bellaize,Julien,Bellaize,
person__212,Léonard Massiot,Léonard ,Massiot,
person__213,Antoine-Paul Le Gallois,Antoine-Paul ,Le Gallois,
person__214,Jean Cornette,Jean,Cornette,
person__215,Michel Gourdin,Michel,Gourdin,
person__216,Jean-Chrysostomus Cornet,Jean-Chrysostomus,Cornet,
person__217,Robert Guérard,Robert,Guérard,
person__218,Francois De Lamy,Francois ,De Lamy,
person__219,Thomas Blampin,Thomas,Blampin,http://d-nb.info/gnd/183766377
person__220,Antoine-Michel Fouqueré,Antoine-Michel,Fouqueré,
person__221,Robert Wyard,Robert,Wyard,
person__222,Claude Estiennot de la Serre,Claude,Estiennot de la Serre,
person__223,Claude Vidal,Claude,Vidal,
person__224,Etienne Du Laura,Etienne ,Du Laura,
person__225,Georges Louvel,Georges,Louvel,
person__226,Pierre Robert,Pierre,Robert,
person__227,Joseph Gouin,Joseph,Gouin,
person__228,Francois Delfau,Francois,Delfau,http://d-nb.info/gnd/187138648
person__229,Jacques Hody,Jacques,Hody,
person__230,Julien Gatien Morillon,Julien Gatien,Morillon,
person__231,Guillaume Fillastre,Guillaume,Fillastre,
person__232,Simon Bougis,Simon,Bougis,
person__233,Hugues Lanthenas,Hugues,Lanthenas,
person__234,Michel Du Peyrat,Michel,Du Peyrat,
person__235,Antoine Thuret,Antoine,Thuret,
person__236,Christophe Tachon,Christophe,Tachon,
person__237,Jacques Remy,Jacques,Remy,
person__238,Louis Seroux,Louis,Seroux,
person__239,Antoine Beaugendre,Antoine,Beaugendre,http://d-nb.info/gnd/100753183
person__240,Jean Garet,Jean,Garet,http://d-nb.info/gnd/1089611749
person__241,Yves Gaigneron,Yves,Gaigneron,
person__242,Mathurin Maur Fouquet,Mathurin Maur,Fouquet,
person__243,Amable Du Mas,Amable,Du Mas,
person__244,Claude Bretagne,Claude,Bretagne,
person__245,Robert Hardy,Robert,Hardy,
person__246,Jean Joseph Bouret,Jean Joseph,Bouret,
person__247,Victor Tiolier,Victor,Tiolier,
person__248,Philippe Bastide,Philippe,Bastide,http://d-nb.info/gnd/130220434
person__249,Antoine Joseph Mège,Antoine Joseph,Mège,
person__250,Claude Martin,Claude,Martin,
person__251,Jean Jacques Paul Bonnefons,Jean Jacques Paul,Bonnefons,
person__252,Jacques Le Clerc,Jacques,Le Clerc,
person__253,Claude Chantelou,Claude,Chantelou,
person__254,Charles Hugues Mathoud,Charles Hugues,Mathoud,
person__255,Francois Hugues Couléon,Francois Hugues,Couléon,
person__256,Francois Hilaire Pellier,Francois Hilaire,Pellier,
person__257,Jean Francois Pommeraye,Jean Francois,Pommeraye,
person__258,René Ambroise Janvier,René Ambroise,Janvier,
person__259,Guillaume Hugues Vaillant,Guillaume Hugues,Vaillant,
person__260,Jean Bernard Planchette,Jean Bernard,Planchette,
person__261,Louis Thomas Du Four,Louis Thomas,Du Four,
person__262,Louis Ambroise Hebert,Louis Ambroise,Hebert,
person__263,Alexandre Aigulphe Le Rouge,Alexandre Aigulphe,Le Rouge,
person__264,Firmin Fursy Baurains,Firmin Fursy,Baurains,
person__265,Francois Anselme Thévart,Francois Anselme,Thévart,
person__266,Louis Gabriel Brosse,Louis Gabriel,Brosse,
person__267,Francois Germain Ferrand,Francois Germain,Ferrand,
person__268,Jean Alexis Breard,Jean Alexis,Breard,
person__269,Guillaume Mommole Geoffroy,Guillaume Mommole,Geoffroy,
person__270,Louis Gabriel Bugnot,Louis Gabriel,Bugnot,
person__271,Artus Victor Cotron,Artus Victor,Cotron,
person__272,Gatien Seguin,Gatien,Seguin,
person__273,Jacques Callixte Adam,Jacques Callixte,Adam,
person__274,Jean Mathieu Jouault,Jean Mathieu,Jouault,
person__275,Gabriel Joseph Seguin,Gabriel Joseph,Seguin,
person__276,Francois Lucien Lescuyer,Francois Lucien,Lescuyer,
person__277,J. Benoît Coquelin,J. Benoît,Coquelin,
person__278,Jean Luc D'Achery,Jean Luc,D'Achery,
person__279,Henri Bonaventura Gilleson,Henri Bonaventura,Gilleson,
person__280,Simon Germain Millet,Simon Germain,Millet,
person__281,Guillaume Anselme Antheaume,Guillaume Anselme,Antheaume,
person__282,Jourdain Marcellin Ferey,Jourdain Marcellin,Ferey,
person__283,Jean Robert Quatremaire,Jean Robert,Quatremaire,
person__284,Jean Noel Mars,Jean Noel,Mars,
person__285,Martin Jean Huynes,Martin Jean,Huynes,
person__286,Pierre Benoît de Jumillac,Pierre Benoît de,Jumillac,
person__287,Martin Bruno Valles,Martin Bruno,Valles,
person__288,Charles Vincent Corbelin,Charles Vincent,Corbelin,
person__289,Noel Philibert Jamet,Noel Philibert,Jamet,
person__290,Jérome Joachim Le Contat,Jérome Joachim ,Le Contat,
person__291,Etienne Fursy Clemens,Etienne Fursy,Clemens,
person__292,Alexis Léandre Anez,Alexis Léandre,Anez,
person__293,Gilbert Martin de Liesme,Gilbert Martin de,Liesme,
person__294,Roland Anastase Barré,Roland Anastase,Barré,
person__295,Léonard Marc Bastide,Léonard Marc,Bastide,
person__296,Yves Melaine Salot,Yves Melaine,Salot,
person__297,Pierre André Faye,Pierre André,Faye,
person__298,Raymond Odon La Motthe,Raymond Odon,La Motthe,
person__300,Guillaume Josephe Bergoumihous,Guillaume Josephe,Bergoumihous,
